Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
R2,10k,R_0402_1005Metric,58.010001,-97.2,0.0,top
R20,10k,R_0402_1005Metric,48.7,-30.95,180.0,bottom
R21,10k,R_0402_1005Metric,54.925,-38.625,270.0,bottom
R22,10k,R_0402_1005Metric,47.13,-40.05,180.0,bottom
R23,10k,R_0402_1005Metric,73.410928,-48.035771,45.0,bottom
R24,10k,R_0402_1005Metric,70.815,-71.125,180.0,bottom
R25,1k,R_0402_1005Metric,77.109999,-101.51,0.0,bottom
R26,180k,R_0402_1005Metric,81.1,-103.41,0.0,bottom
R27,56k,R_0402_1005Metric,79.1,-103.41,180.0,bottom
R28,3.3k,R_0402_1005Metric,77.1,-90.1,180.0,bottom
R29,1k,R_0402_1005Metric,77.1,-89.1,0.0,bottom
R30,180k,R_0402_1005Metric,81.119999,-88.4,0.0,bottom
R31,56k,R_0402_1005Metric,79.09,-88.4,180.0,bottom
R32,3.3k,R_0402_1005Metric,77.1,-92.1,180.0,bottom
R33,1k,R_0402_1005Metric,77.1,-91.116,0.0,bottom
R34,180k,R_0402_1005Metric,81.1,-93.2,0.0,bottom
R35,56k,R_0402_1005Metric,79.1,-93.2,180.0,bottom
R36,220R,R_0402_1005Metric,69.19,-100.7,180.0,bottom
R37,220R,R_0402_1005Metric,68.39,-105.4,180.0,bottom
R38,47R,R_Array_Convex_4x0402,50.1,-93.95,180.0,bottom
R39,47R,R_Array_Convex_4x0402,55.55,-109.9,90.0,bottom
R4,47R1%,R_0402_1005Metric,69.289623,-37.889309,225.0,bottom
R40,10k,R_0402_1005Metric,66.4,-91.55,-90.0,top
R41,2.2k,R_0402_1005Metric,69.45,-95.05,0.0,top
R42,220R,R_0402_1005Metric,77.810624,-41.989376,315.0,bottom
R43,10k,R_0402_1005Metric,50.390001,-104.0,0.0,bottom
R44,47R,R_0402_1005Metric,50.4,-105.1,0.0,bottom
R45,10k,R_0402_1005Metric,49.359999,-67.15,180.0,top
R5,10k,R_0402_1005Metric,82.250247,-57.328685,315.0,bottom
R6,10k,R_0402_1005Metric,78.1,-59.15,315.0,bottom
R7,10k,R_0402_1005Metric,56.8,-29.640001,-90.0,top
R8,51,R_0402_1005Metric,71.8,-40.25,45.0,top
R9,10k,R_0402_1005Metric,73.174175,-34.709099,-45.0,top
RADIO_5VPWR_3V3IO1,JST_GH_SM06B,JST_GH_SM06B-GHS-TB_1x06-1MP_P1.25mm_Horizontal,73.374999,-23.2,180.0,top
STEMMA_QT1,JST_SH_SM04B,JST_SH_SM04B-SRSS-TB_1x04-1MP_P1.00mm_Horizontal,43.324998,-46.4,-90.0,top
SW1,SW_Omron_B3FS,SW_SPST_FSMSM,82.0,-33.5,180.0,top
SW2,SW_Nidec_CAS-120A1,Nidec_Copal_CAS-120A,81.231891,-62.181891,135.0,top
U1,MS5611-01BA,LGA-8_3x5mm_P1.25mm,55.95,-37.45,0.0,top
U10,W25Q128JVS,SOIC-8_5.3x5.3mm_P1.27mm,69.5,-49.05,45.0,bottom
U11,CM1624,OnSemi_UDFN-16-1EP_1.35x3.3mm_P0.4mm_EP0.4x2.8mm,70.815,-76.31,0.0,bottom
U12,~,SOT-353_SC-70-5,62.02,-81.4,90.0,top
U13,USBLC6-2SC6,SOT-23-6,48.8375,-45.85,0.0,top
U14,USBLC6-2SC6,SOT-23-6,51.187501,-80.65,0.0,top
U15,MAX17049,TDFN-8-1EP_2x2mm_P0.5mm_EP0.8x1.2mm,44.2,-63.800001,90.0,top
U16,SI7232DN-T1,PowerPak1212-8-Dual,80.085,-90.795,180.0,bottom
U17,SN74LV1T34DCK,SOT-353_SC-70-5,76.081371,-40.387868,315.0,bottom
U2,STM32H747IITx,LQFP-176_24x24mm_P0.5mm,65.010927,-54.135771,-135.0,top
U3,LIS2MDL,LGA-12_2x2mm_P0.5mm,48.4675,-39.8,0.0,top
U4,ICM-45686,LGA-14_3x2.5mm_P0.5mm_LayoutBorder3x4y,49.3375,-31.0,0.0,top
U5,FXMA108,WQFN-20-1EP_2.5x4.5mm_P0.5mm_EP1x2.9mm,59.1,-105.9,0.0,bottom
U6,AP1117-50,SOT-223-3_TabPin2,57.300002,-90.6,0.0,top
U7,AP1117-33,SOT-223-3_TabPin2,57.350001,-101.6,0.0,top
U8,SI7232DN-T1,PowerPak1212-8-Dual,80.085,-101.005,180.0,bottom
U9,USBLC6-4SC6,SOT-23-6,73.774999,-29.349999,0.0,top
VIDEO1,JST_GH_SM02B,JST_GH_SM02B-GHS-TB_1x02-1MP_P1.25mm_Horizontal,43.2,-69.425,-90.0,top
Y1,32.768khz,Crystal_SMD_3215-2Pin_3.2x1.5mm,80.010928,-47.535771,-45.0,top
Y3,32.768khz,Oscillator_SMD_Abracon_ASE-4Pin_3.2x2.5mm,54.25,-30.765001,180.0,top
Y4,ASE-25.000MHZ,Oscillator_SMD_Abracon_ASE-4Pin_3.2x2.5mm,71.840901,-37.075825,-135.0,top
